FIELD NO.,FIELD NAME,POSITION,PICTURE,LENGTH,FIELD DESCRIPTION / VALUES,START_POSITION,END_POSITION,RECORD,DOCUMENT
11,P2P-CONTRACT,122 - 126,X(5),5,The contract number of the Submitting Contract associated with the P2P reconciliation condition,122,126,det,42COV
12,P2P-AMOUNT,127 - 140,S9(12)V99,14,"The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-to"" all Submitting Contracts from this PBP of record for this beneficiary.   This field is the sum of the LICS Amount and CPP Amount",127,140,det,42COV
"6, 5",BENEFICIARY-COUNT,"20 - 30, 17 - 27","9(11), 9(11)","11, 11","Total count of DET records, Total count of DET records","20, 17","30, 27","ptr, ctr",42COV
"12, 12",DET-RECORD-TOTAL,"101 - 108, 107 – 114","9(8), 9(8)","8, 8","Total count of DET records, Total count of DET records","101, 107","108, 114","ptr, ctr",42COV
13,P2P-AMOUNT-DUE-TO-ALL-SUBMITTING CONTRACTS,109 - 122,S9(12)V99,14,"The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-to"" all Submitting Contracts from this PBP of Record.   This field is the sum of the LICS Amount and CPP Amount",109,122,ptr,42COV
13,P2P-AMOUNT-DUE-TO-ALL-SUBMITTING-CONTRACTS,115 – 128,S9(12)V99,14,The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount “due-to” all Submitting Contracts from this Contract of Record.  This field is the sum of the LICS Amount and CPP Amount,115,128,ctr,42COV
"1, 1, 1, 1, 1",RECORD-ID,"1 - 3, 1 - 3, 1 - 3, 1 - 3, 1 - 3","X(3), X(3), X(3), X(3), X(3)","3, 3, 3, 3, 3","""CHD"", ""CHD"", DET, ""STR"", ""CTR""","1, 1, 1, 1, 1","3, 3, 3, 3, 3","chd, shd?, det, str, ctr",43COV
"2, 2, 2, 2, 2",SEQUENCE-NO,"4 - 10, 4 - 10, 4 - 10, 4 - 10, 4 - 10","9(7), 9(7), 9(7), 9(7), 9(7)","7, 7, 7, 7, 7","Starts with 0000001, Starts with 0000001, Must start with 0000001, Starts with 0000001, Must start with 0000001","4, 4, 4, 4, 4","10, 10, 10, 10, 10","chd, shd?, det, str, ctr",43COV
"3, 3, 3, 3",CONTRACT-NO,"11 - 15, 11 - 15, 11 - 15, 11 - 15","X(5), X(5), X(5), X(5)","5, 5, 5, 5","Contract number of the Plan of Record, Contract number of the Plan of Record, Same as SHD, Must match CHD","11, 11, 11, 11","15, 15, 15, 15","chd, shd?, str, ctr",43COV
"4, 4",FILE-ID,"16 - 31, 16 - 31","X(16), X(16)","16, 16","43COVCCYY###  (Where  43 = Due To Submitting Contracts - Current Month report COV indicates the drug coverage status being reported on (covered drugs only) CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.), 43COVCCYY###  (Where  43 = Due To Submitting Contracts - Current Month report COV indicates the drug coverage status being reported on (covered drugs only) CCYY indicates the benefit year ### indicates sequential versions of this file.  The 4 right-most positions are populated with spaces.)","16, 16","31, 31","chd, shd?",43COV
"5, 5",PROD-TEST-IND,"32 - 35, 32 - 35","X(4), X(4)","4, 4","TEST or PROD, TEST or PROD","32, 32","35, 35","chd, shd?",43COV
"6, 6",AS-OF-YEAR,"36 - 39, 36 - 39","X(4), X(4)","4, 4","Identifies ""data reported through"" year.  Format is CCYY, Identifies ""data reported through"" year.  Format is CCYY","36, 36","39, 39","chd, shd?",43COV
"7, 7",AS-OF-MONTH,"40 - 41, 40 - 41","X(2), X(2)","2, 2","Identifies ""data reported through"" month.  Valid values are 01 through 12., Identifies ""data reported through"" month.  Valid values are 01 through 12.","40, 40","41, 41","chd, shd?",43COV
"8, 8",DDPS-SYSTEM-DATE,"42 - 49, 42 - 49","X(8), X(8)","8, 8","‘CCYYMMDD’ = DDPS File creation date, ‘CCYYMMDD’ = DDPS File creation date","42, 42","49, 49","chd, shd?",43COV
"9, 9",DDPS-SYSTEM-TIME,"50 - 55, 50 - 55","X(6), X(6)","6, 6","‘HHMMSS’ = DDPS File creation time, ‘HHMMSS’ = DDPS File creation time.","50, 50","55, 55","chd, shd?",43COV
"10, 10",DDPS-REPORT-ID,"56 - 60, 56 - 60","X(5), X(5)","5, 5","DDPS Report identifier ('43COV'), DDPS Report identifier ('43COV')","56, 56","60, 60","chd, shd?",43COV
"11, 11, 13, 14, 6, 14",FILLER,"61 - 512, 61 - 512, 141 - 512, 123 - 512, 28 - 36, 129 – 512","X(452), X(452), X(372), X(390), X(9), X(384)","452, 452, 372, 390, 9, 384","SPACES, SPACES, SPACES, SPACES, SPACES, SPACES","61, 61, 141, 123, 28, 129","512, 512, 512, 512, 36, 512","chd, shd?, det, str, ctr, ctr",43COV
"3, 5, 4",DRUG-COVERAGE-STATUS-CODE,"11 - 11, 19 - 19, 16 - 16","X(1), X(1), X(1)","1, 1, 1","Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report, Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report, Note: Only PDEs with a value of 'C' (Covered Drug) will be included on this report","11, 19, 16","11, 19, 16","det, str, ctr",43COV
4,CURRENT-CMS-HICN,12 - 31,X(20),20,"Medicare HIC or RRB number.  If the beneficiary has more than one HICN on file, this is current HICN",12,31,det,43COV
5,LAST-SUBMITTED-HICN,32 - 51,X(20),20,HICN from the most recent accepted PDE in the DDPS database for that plan/beneficiary,32,51,det,43COV
"6, 7, 7",CURRENT-MONTH-GDCB-AMOUNT,"52 - 65, 31 - 44, 37 - 50","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Gross Drug Cost Below the Catastrophic Coverage Threshold, Monthly change in Gross Drug Cost Below the Catastrophic Coverage Threshold, Monthly change in Gross Drug Cost Below the Catastrophic Coverage Threshold","52, 31, 37","65, 44, 50","det, str, ctr",43COV
"7, 8, 8",CURRENT-MONTH-GDCA-AMOUNT,"66 - 79, 45 - 58, 51 - 64","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Gross Drug Cost Above the Catastrophic Coverage Threshold, Monthly change in Gross Drug Cost Above the Catastrophic Coverage Threshold, Monthly change in Gross Drug Cost Above the Catastrophic Coverage Threshold","66, 45, 51","79, 58, 64","det, str, ctr",43COV
"8, 9, 9",CURRENT-MONTH-TOTAL-GROSS-DRUG-COST,"80 - 93, 59 - 72, 65 - 78","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax., Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax, Sum of Net Ingred Cost, Net Dispens Fee and Net Sales Tax","80, 59, 65","93, 72, 78","det, str, ctr",43COV
"9, 10, 10",CURRENT-MONTH-LICS-AMOUNT,"94 - 107, 73 - 86, 79 – 92","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Low Income Cost Sharing Amount, Monthly change in Low Income Cost Sharing Amount, Monthly change in Low Income Cost Sharing Amount","94, 73, 79","107, 86, 92","det, str, ctr",43COV
"10, 11, 11",CURRENT-MONTH-CPP-AMOUNT,"108 - 121, 87 - 100, 93 – 106","S9(12)V99, S9(12)V99, S9(12)V99","14, 14, 14","Monthly change in Covered Plan Paid Amount, Monthly change in Covered Plan Paid Amount, Monthly change in Covered Plan Paid Amount","108, 87, 93","121, 100, 106","det, str, ctr",43COV
11,P2P-CONTRACT,122 - 126,X(5),5,The contract number of the Submitting Contract associated with the P2P reconciliation condition,122,126,det,43COV
12,CURRENT-MONTH-P2P-AMOUNT,127 - 140,S9(12)V99,14,"The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-to"" this Submitting Contract from this Contract of Record for this beneficiary.  This field is the sum of the LICS Amount and CPP Amount",127,140,det,43COV
4,PBP-ID,16 - 18,X(3),3,Same as SHD,16,18,str,43COV
"6, 5",BENEFICIARY-COUNT,"20 - 30, 17 - 27","9(11), 9(11)","11, 11","Total count of DET records, Total count of DET records","20, 17","30, 27","str, ctr",43COV
"12, 12",DET-RECORD-TOTAL,"101 - 108, 107 – 114","9(8), 9(8)","8, 8","Total count of DET records, Total count of DET records","101, 107","108, 114","str, ctr",43COV
"13, 13",CURRENT-MONTH-P2P-AMOUNT-DUE-TO-ALL-SUBMITTING CONTRACTS,"109 - 122, 115 – 128","S9(12)V99, S9(12)V99","14, 14","The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-to"" this Contract of Record. This field is the sum of the LICS Amount and CPP Amount, The amount related to the Plan-to-Plan reconciliation condition.  This amount represents the amount ""due-to"" this Contract of Record. This field is the sum of the LICS Amount and CPP Amount","109, 115","122, 128","str, ctr",43COV
